Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
The Crying Game,1992,7.3,53664,"Crime, Drama, Romance",112,R,Moderate,Moderate,Severe,Moderate,Severe
Maze Runner: The Scorch Trials,2015,6.3,234897,"Action, Adventure, Sci-Fi",131,PG-13,None,Moderate,Moderate,Mild,Moderate
Network,1976,8.1,152766,Drama,121,R,Mild,Mild,Moderate,Mild,Moderate
The First Purge,2018,5.2,60219,"Action, Horror, Sci-Fi",97,R,Mild,Severe,Severe,Moderate,Moderate
The Collector,2009,6.4,62207,"Horror, Thriller",90,R,Moderate,Severe,Moderate,Mild,Severe
The Survivalist,2015,6.4,16592,"Drama, Sci-Fi, Thriller",104,R,Severe,Severe,None,Mild,Severe
Open Range,2003,7.4,69970,"Action, Drama, Romance",139,R,None,Moderate,Moderate,Mild,Mild
Black Christmas,2019,3.4,13909,"Horror, Mystery, Thriller",92,PG-13,Mild,Moderate,Mild,Mild,Mild
The Highwaymen,2019,6.9,83898,"Biography, Crime, Drama",132,R,None,Moderate,Mild,Moderate,Moderate
The Good Shepherd,2006,6.7,100949,"Drama, History, Thriller",167,R,Moderate,Moderate,Moderate,Mild,Moderate
Home,2015,6.6,97439,"Animation, Adventure, Comedy",94,PG,None,Mild,None,None,Mild
The Gambler,2014,6.1,68871,"Crime, Drama, Thriller",111,R,Moderate,Mild,Severe,Mild,Mild
Seeking a Friend for the End of the World,2012,6.7,110973,"Adventure, Comedy, Drama",101,R,Mild,Moderate,Mild,Moderate,Moderate
Nocturne,2020,5.7,7328,"Horror, Mystery, Thriller",90,R,Mild,Moderate,Moderate,Mild,Moderate
Cloudy with a Chance of Meatballs,2009,6.9,216940,"Animation, Adventure, Comedy",90,PG,None,Mild,Mild,None,Mild
In the Tall Grass,2019,5.4,51569,"Horror, Mystery, Sci-Fi",101,R,Mild,Severe,Moderate,None,Moderate
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,391697,Comedy,84,R,Severe,Mild,Moderate,Mild,Mild
Never Rarely Sometimes Always,2020,7.4,23959,Drama,101,PG-13,Mild,Mild,Mild,Mild,Moderate
American Mary,2012,6.3,24525,"Drama, Horror",103,R,Severe,Severe,Severe,Moderate,Severe
We Were Soldiers,2002,7.2,135572,"Action, Drama, History",138,R,Mild,Severe,Moderate,Mild,Severe
The Grudge,2020,4.3,23108,"Fantasy, Horror",94,R,None,Severe,Moderate,Mild,Severe
The Fundamentals of Caring,2016,7.3,67258,"Comedy, Drama",97,R,Mild,None,Severe,Mild,None
Newness,2017,6.3,15660,"Drama, Romance",117,R,Moderate,Mild,Moderate,Moderate,Mild
Dreamcatcher,2003,5.5,90767,"Drama, Horror, Sci-Fi",136,R,Mild,Severe,Moderate,Mild,Severe
Tarzan,1999,7.3,213346,"Animation, Adventure, Drama",88,G,None,Mild,None,Mild,Moderate
Don't Tell Mom the Babysitter's Dead,1991,6.3,31676,Comedy,102,PG-13,Mild,None,Moderate,Moderate,None
