Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
Full Metal Jacket,1987,8.3,703407,"Drama, War",116,R,Mild,Severe,Severe,Mild,Severe
RED,2010,7.0,299106,"Action, Comedy, Crime",111,PG-13,Mild,Moderate,Moderate,Mild,Moderate
The Game,1997,7.7,370750,"Action, Drama, Mystery",129,R,Mild,Mild,Moderate,Mild,Moderate
The New Mutants,2020,5.3,67155,"Action, Horror, Mystery",94,PG-13,Mild,Moderate,Moderate,Mild,Moderate
Aladdin,2019,6.9,245698,"Adventure, Comedy, Family",128,PG,None,Mild,None,None,Mild
Fast & Furious Presents: Hobbs & Shaw,2019,6.4,194931,"Action, Adventure, Thriller",137,PG-13,Mild,Moderate,Moderate,Mild,Moderate
Ouija: Origin of Evil,2016,6.2,58020,"Drama, Horror, Mystery",99,PG-13,None,Moderate,Mild,Mild,Severe
Shazam!,2019,7.0,296642,"Action, Adventure, Comedy",132,PG-13,None,Moderate,Mild,Mild,Moderate
Road to Perdition,2002,7.7,257655,"Crime, Drama, Thriller",117,R,Mild,Moderate,Moderate,Mild,Moderate
Home Again,2017,5.8,30703,"Comedy, Drama, Romance",97,PG-13,Mild,Mild,Mild,Mild,None
The Human Centipede (First Sequence),2009,4.4,76180,Horror,92,R,Moderate,Severe,Severe,Moderate,Severe
Batman & Robin,1997,3.8,241590,"Action, Sci-Fi",125,PG-13,Mild,Mild,Mild,Mild,Mild
You Only Live Twice,1967,6.9,103911,"Action, Adventure, Thriller",117,PG,Mild,Moderate,Mild,Mild,Mild
The Breakfast Club,1985,7.8,373312,"Comedy, Drama",97,R,Mild,Mild,Moderate,Moderate,None
Aftermath,2021,5.3,12053,"Drama, Horror, Mystery",114,R,Mild,Moderate,Moderate,Mild,Moderate
Predator,1987,7.8,388411,"Action, Adventure, Sci-Fi",107,R,None,Severe,Moderate,Mild,Moderate
True Romance,1993,7.9,217377,"Crime, Drama, Romance",119,R,Moderate,Severe,Severe,Severe,Severe
Southpaw,2015,7.4,226759,"Action, Crime, Drama",124,R,Mild,Moderate,Severe,Mild,Moderate
The Imitation Game,2014,8.0,719930,"Biography, Drama, Thriller",114,PG-13,Mild,Mild,Mild,Mild,Mild
Greenland,2020,6.4,100856,"Action, Drama, Thriller",119,PG-13,None,Moderate,Mild,None,Moderate
Hairspray,2007,6.7,124390,"Comedy, Drama, Musical",117,PG,Mild,None,Mild,Mild,Mild
Ghost,1990,7.1,206313,"Drama, Fantasy, Romance",127,PG-13,Mild,Moderate,Moderate,None,Moderate
Armageddon,1998,6.7,408801,"Action, Adventure, Sci-Fi",151,PG-13,Mild,Moderate,Moderate,Mild,Moderate
Starship Troopers,1997,7.2,280324,"Action, Adventure, Sci-Fi",129,R,Moderate,Severe,Mild,Mild,Severe
Freddy vs. Jason,2003,5.7,114924,"Action, Horror",97,R,Moderate,Severe,Severe,Moderate,Severe
Mrs. Doubtfire,1993,7.0,256622,"Comedy, Drama, Family",125,PG-13,Mild,Mild,Moderate,Mild,None
Frozen,2013,7.4,593439,"Animation, Adventure, Comedy",102,PG,None,Mild,None,None,Mild
Happy Gilmore,1996,7.0,209266,"Comedy, Sport",92,PG-13,Mild,Mild,Moderate,Mild,None
Big Trouble in Little China,1986,7.3,131632,"Action, Adventure, Comedy",99,PG-13,Mild,Moderate,Moderate,Mild,Moderate
The Blind Side,2009,7.6,309095,"Biography, Drama, Sport",129,PG-13,Mild,Mild,Mild,Mild,Mild
The Mist,2007,7.1,291982,"Horror, Sci-Fi, Thriller",126,R,None,Severe,Moderate,Mild,Severe
King Richard,2021,6.7,250,"Biography, Drama, Sport",138,PG-13,Mild,Mild,Moderate,Mild,Moderate
The Terminal,2004,7.4,429358,"Comedy, Drama, Romance",128,PG-13,Mild,None,Mild,Mild,None
Thor: The Dark World,2013,6.8,630536,"Action, Adventure, Fantasy",112,PG-13,Mild,Moderate,Mild,None,Moderate
The Graduate,1967,8.0,263718,"Comedy, Drama, Romance",106,PG,Moderate,Mild,Mild,Mild,Mild
Octopussy,1983,6.5,101261,"Action, Adventure, Thriller",131,PG,Moderate,Moderate,Mild,Mild,Mild
Stand by Me,1986,8.1,381082,"Adventure, Drama",89,R,Mild,Mild,Moderate,Mild,Moderate
Total Recall,1990,7.5,315381,"Action, Sci-Fi, Thriller",113,R,Moderate,Severe,Moderate,None,Severe
The Mother,2003,6.8,4189,"Drama, Romance",112,R,Moderate,Mild,Moderate,Moderate,Mild
Midnight in Paris,2011,7.7,403980,"Comedy, Fantasy, Romance",94,PG-13,Mild,None,Mild,Mild,None
The Terminator,1984,8.0,822248,"Action, Sci-Fi",107,R,Moderate,Moderate,Moderate,Mild,Moderate
The Fast and the Furious,2001,6.8,368789,"Action, Crime, Thriller",106,PG-13,Moderate,Moderate,Moderate,Mild,Mild
Enola Holmes,2020,6.6,150248,"Action, Adventure, Crime",123,PG-13,None,Mild,None,None,Mild
Not Another Teen Movie,2001,5.7,101791,Comedy,89,R,Severe,Moderate,Moderate,Moderate,None
The Rite,2011,6.0,94364,"Drama, Horror, Mystery",114,PG-13,Mild,Moderate,Mild,None,Moderate
21 Jump Street,2012,7.2,528589,"Action, Comedy, Crime",109,R,Moderate,Moderate,Severe,Severe,Mild
Star Wars: Episode VIII - The Last Jedi,2017,6.9,590531,"Action, Adventure, Fantasy",152,PG-13,None,Moderate,Mild,Mild,Moderate
The Killing of a Sacred Deer,2017,7.0,136351,"Drama, Horror, Mystery",121,R,Moderate,Moderate,Mild,Mild,Severe
Lucy,2014,6.4,468355,"Action, Sci-Fi, Thriller",89,R,Mild,Severe,Mild,Moderate,Moderate
Blood Red Sky,2021,6.1,38932,"Action, Horror, Thriller",121,R,None,Severe,Severe,Mild,Severe
You Belong to Me,2021,5.3,3539,"Drama, Mystery, Thriller",105,R,Mild,Moderate,Mild,Mild,Mild
American Gangster,2007,7.8,407369,"Biography, Crime, Drama",157,R,Severe,Severe,Severe,Severe,Severe
Dolittle,2020,5.6,55368,"Adventure, Comedy, Family",101,PG,None,None,None,None,Mild
Dark Phoenix,2019,5.7,170773,"Action, Adventure, Sci-Fi",113,PG-13,None,Moderate,Mild,Mild,Moderate
The Shape of Water,2017,7.3,394482,"Adventure, Drama, Fantasy",123,R,Severe,Severe,Moderate,Mild,Moderate
The Hunt for Red October,1990,7.6,189008,"Action, Adventure, Thriller",135,PG,None,Mild,Mild,Mild,Mild
The Monster Squad,1987,7.0,30822,"Action, Comedy, Fantasy",79,PG-13,Mild,Mild,Moderate,Mild,Mild
Divergent,2014,6.6,440217,"Action, Adventure, Mystery",139,PG-13,Mild,Moderate,Mild,None,Moderate
Unforgiven,1992,8.2,392997,"Drama, Western",130,R,Moderate,Moderate,Moderate,Mild,Moderate
The Marksman,2021,5.6,23041,"Action, Drama, Thriller",108,PG-13,None,Moderate,Moderate,Mild,Moderate
Fighting with My Family,2019,7.1,74761,"Biography, Comedy, Drama",108,PG-13,Mild,Mild,Mild,Mild,None
Planet of the Apes,2001,5.7,214997,"Action, Adventure, Sci-Fi",119,PG-13,Mild,Moderate,Mild,Mild,Mild
Army of Darkness,1992,7.5,168896,"Comedy, Horror",81,R,Mild,Moderate,Mild,None,Mild
Run,2020,6.7,60144,"Mystery, Thriller",90,PG-13,None,Mild,Mild,Mild,Moderate
World War Z,2013,7.0,627735,"Action, Adventure, Horror",116,PG-13,None,Moderate,Mild,Mild,Moderate
Underworld,2003,7.0,260948,"Action, Fantasy, Thriller",121,R,Mild,Severe,Moderate,Mild,Severe
Spotlight,2015,8.1,443922,"Biography, Crime, Drama",129,R,Mild,Mild,Moderate,Mild,Moderate
The Blair Witch Project,1999,6.5,244656,"Horror, Mystery",81,R,None,Mild,Severe,Mild,Severe
Beckett,2021,5.6,21794,"Action, Crime, Drama",110,R,Mild,Moderate,Moderate,Mild,Mild
Iron Man Three,2013,7.1,793632,"Action, Adventure, Sci-Fi",130,PG-13,Mild,Moderate,Mild,Mild,Moderate
Do-ga-ni,2011,8.1,13284,Drama,125,R,Severe,Severe,Mild,Mild,Severe
Sweet Home Alabama,2002,6.2,107480,"Comedy, Romance",108,PG-13,None,None,Mild,Mild,Mild
Natural Born Killers,1994,7.3,225207,"Action, Crime, Drama",118,R,Moderate,Severe,Severe,Moderate,Severe
Wild Things,1998,6.5,114853,"Crime, Drama, Mystery",108,R,Severe,Moderate,Severe,Moderate,Mild
Fargo,1996,8.1,644973,"Crime, Drama, Thriller",98,R,Moderate,Severe,Severe,Mild,Moderate
The Help,2011,8.0,440341,Drama,146,PG-13,None,Mild,Mild,Mild,Mild
Munich,2005,7.5,219774,"Action, Drama, History",164,R,Moderate,Severe,Moderate,Mild,Severe
I Spit on Your Grave,2010,6.3,80557,"Horror, Thriller",108,R,Severe,Severe,Severe,Moderate,Severe
Terminator: Dark Fate,2019,6.2,163583,"Action, Adventure, Sci-Fi",128,R,Mild,Moderate,Moderate,Mild,Moderate
Alice in Wonderland,2010,6.4,396924,"Adventure, Family, Fantasy",108,PG,None,Moderate,None,Mild,Moderate
Things Heard & Seen,2021,5.3,26809,"Drama, Horror, Mystery",121,R,Mild,Moderate,Moderate,Mild,Moderate
Paradise Hills,2019,5.4,21145,"Fantasy, Sci-Fi, Thriller",95,PG-13,Mild,Mild,Mild,Mild,Mild
Martyrs,2008,7.1,88087,Horror,99,R,Moderate,Severe,Mild,Mild,Severe
Zootopia,2016,8.0,460226,"Animation, Adventure, Comedy",108,PG,None,Mild,None,Mild,Mild
Ghost in the Shell,2017,6.3,206127,"Action, Crime, Drama",107,PG-13,Mild,Moderate,Mild,Mild,Mild
The Turning,2020,3.8,11947,"Drama, Horror, Mystery",94,PG-13,Mild,Moderate,Mild,None,Moderate
Baywatch,2017,5.5,174777,"Action, Comedy, Crime",116,R,Moderate,Moderate,Severe,Mild,Mild
That Thing You Do!,1996,6.9,65575,"Comedy, Drama, Music",108,PG,Mild,None,Mild,Mild,None
Under the Skin,2013,6.3,136184,"Drama, Horror, Sci-Fi",108,R,Severe,Moderate,Mild,Mild,Severe
Blush,2021,7.7,767,"Animation, Short, Sci-Fi",11,PG,None,None,None,None,Mild
The Devil Wears Prada,2006,6.9,391489,"Comedy, Drama",109,PG-13,Mild,None,Mild,Mild,None
John Wick: Chapter 2,2017,7.5,395905,"Action, Crime, Thriller",122,R,Mild,Severe,Moderate,Mild,Severe
My Cousin Vinny,1992,7.6,115033,"Comedy, Crime",120,R,Mild,Mild,Moderate,Mild,None
For Your Eyes Only,1981,6.7,96673,"Action, Adventure, Thriller",127,PG,Mild,Moderate,None,Mild,Mild
Silver Linings Playbook,2012,7.7,682108,"Comedy, Drama, Romance",122,R,Mild,Mild,Severe,Mild,Mild
Road Trip,2000,6.4,163615,Comedy,93,R,Moderate,Mild,Moderate,Moderate,None
Point Break,1991,7.3,169670,"Action, Crime, Thriller",122,R,Mild,Moderate,Severe,Mild,Moderate
The Untouchables,1987,7.9,295516,"Crime, Drama, Thriller",119,R,None,Severe,Moderate,Mild,Moderate
Crooked House,2017,6.3,21361,"Crime, Drama, Mystery",115,PG-13,None,Mild,Mild,Moderate,Mild
Cinderella,2015,6.9,169105,"Adventure, Drama, Family",105,PG,None,None,None,None,Mild
A Bridge Too Far,1977,7.4,54645,"Drama, History, War",175,PG,None,Moderate,Moderate,Mild,Moderate
The Mitchells vs the Machines,2021,7.7,76940,"Animation, Adventure, Comedy",113,PG,None,Mild,None,None,Mild
Blade,1998,7.1,257516,"Action, Horror, Sci-Fi",120,R,Mild,Severe,Severe,Moderate,Moderate
The Final Girls,2015,6.6,42736,"Comedy, Drama, Fantasy",91,PG-13,Mild,Moderate,Moderate,Mild,Mild
Fear of Rain,2021,5.9,5536,"Drama, Horror, Thriller",109,PG-13,None,Mild,Mild,Mild,Severe
Kimi no na wa.,2016,8.4,226939,"Animation, Drama, Fantasy",106,PG,Mild,None,None,Mild,Mild
The House That Jack Built,2018,6.8,66537,"Crime, Drama, Horror",152,R,Moderate,Severe,Severe,Mild,Severe
Coal Miner's Daughter,1980,7.5,17809,"Biography, Drama, Music",124,PG,Mild,Mild,Moderate,Mild,Moderate
Just Mercy,2019,7.6,57183,"Biography, Crime, Drama",137,PG-13,None,Mild,Mild,Mild,Moderate
Scream 3,2000,5.6,129243,"Horror, Mystery",116,R,Mild,Severe,Moderate,Mild,Severe
Ocean's Eleven,2001,7.7,540659,"Crime, Thriller",116,PG-13,Mild,Mild,Moderate,Mild,Mild
Bad Boys,1995,6.9,251286,"Action, Comedy, Crime",119,R,Mild,Moderate,Severe,Moderate,Moderate
The Ritual,2017,6.3,87392,"Horror, Mystery, Thriller",94,R,Mild,Severe,Severe,Mild,Severe
Ratatouille,2007,8.0,671712,"Animation, Adventure, Comedy",111,G,None,Mild,None,Mild,Mild
Underwater,2020,5.8,72580,"Adventure, Horror, Sci-Fi",95,PG-13,None,Moderate,Mild,None,Moderate
La vita è bella,1997,8.6,654219,"Comedy, Drama, Romance",116,PG-13,None,Mild,None,Mild,Moderate
"Monsters, Inc.",2001,8.1,853277,"Animation, Adventure, Comedy",92,G,None,Mild,None,None,Mild
Sonic the Hedgehog,2020,6.5,106840,"Action, Adventure, Comedy",99,PG,None,Mild,Mild,Mild,Mild
Scouts Guide to the Zombie Apocalypse,2015,6.3,48670,"Action, Comedy, Horror",93,R,Severe,Severe,Severe,Mild,Moderate
Fast Times at Ridgemont High,1982,7.2,100284,"Comedy, Drama",90,R,Severe,Mild,Moderate,Moderate,None
The Karate Kid,1984,7.3,208969,"Action, Drama, Family",126,PG,None,Mild,Mild,Mild,Mild
Commando,1985,6.7,153193,"Action, Adventure, Thriller",90,R,Mild,Severe,Moderate,Mild,Moderate
Evil Dead,2013,6.5,163319,Horror,91,R,Mild,Severe,Severe,Mild,Severe
The Perks of Being a Wallflower,2012,7.9,482833,"Drama, Romance",103,PG-13,Mild,Mild,Moderate,Moderate,Moderate
The Man from U.N.C.L.E.,2015,7.3,291228,"Action, Adventure, Comedy",116,PG-13,Mild,Moderate,Mild,Mild,Mild
Room,2015,8.1,394244,"Drama, Thriller",118,R,Mild,Mild,Moderate,Mild,Moderate
District 9,2009,7.9,656442,"Action, Sci-Fi, Thriller",112,R,Mild,Severe,Severe,Mild,Severe
Kingdom of Heaven,2005,7.2,276066,"Action, Adventure, Drama",144,R,Mild,Severe,Mild,Mild,Moderate
Cosmic Sin,2021,2.5,10329,"Action, Adventure, Sci-Fi",88,R,Mild,Moderate,Moderate,Mild,Moderate
G.I. Joe: The Rise of Cobra,2009,5.8,204827,"Action, Adventure, Sci-Fi",118,PG-13,None,Moderate,Mild,Mild,Mild
Event Horizon,1997,6.7,168940,"Horror, Sci-Fi, Thriller",96,R,Moderate,Severe,Moderate,Mild,Severe
Friday the 13th Part 2,1981,6.1,63824,"Horror, Mystery, Thriller",87,R,Moderate,Severe,Moderate,Mild,Severe
Identity,2003,7.3,235927,"Mystery, Thriller",90,R,None,Severe,Moderate,None,Moderate
Warrior,2011,8.1,451014,"Action, Drama, Sport",140,PG-13,None,Moderate,Mild,Mild,Mild
Sleepers,1996,7.6,208408,"Crime, Drama, Thriller",147,R,Moderate,Severe,Moderate,Moderate,Severe
Superbad,2007,7.6,544593,Comedy,113,R,Moderate,Mild,Severe,Severe,None
The Lion King,2019,6.8,227258,"Animation, Adventure, Drama",118,PG,None,Mild,None,None,Moderate
The Nice Guys,2016,7.4,301176,"Action, Comedy, Crime",116,R,Moderate,Moderate,Severe,Moderate,Mild
War Dogs,2016,7.1,195267,"Biography, Comedy, Crime",114,R,Mild,Moderate,Severe,Severe,Mild
Booksmart,2019,7.2,107068,Comedy,102,R,Moderate,None,Severe,Moderate,None
Mystic River,2003,7.9,438092,"Crime, Drama, Mystery",138,R,Mild,Moderate,Severe,Mild,Moderate
Zero Dark Thirty,2012,7.4,286004,"Drama, History, Thriller",157,R,Mild,Severe,Severe,Mild,Severe
The Croods: A New Age,2020,7.0,33732,"Animation, Adventure, Comedy",95,PG,None,Mild,None,None,Mild
Cherry,2021,6.6,26446,"Crime, Drama",142,R,Moderate,Severe,Severe,Severe,Severe
Nymphomaniac: Vol. I,2013,6.9,119998,Drama,117,R,Severe,Moderate,Severe,None,Severe
Crash,1996,6.4,56469,Drama,100,R,Severe,Severe,Severe,Mild,Severe
Midnight in the Switchgrass,2021,4.4,3858,"Action, Crime, Thriller",99,R,Moderate,Mild,Severe,Moderate,Severe
Tata muta muntii,2021,5.5,2584,"Drama, Thriller",108,R,None,None,None,None,Mild
Locke,2013,7.1,143172,Drama,85,R,None,None,Severe,Mild,Mild
The Maze Runner,2014,6.8,438613,"Action, Mystery, Sci-Fi",113,PG-13,None,Moderate,Mild,Mild,Moderate
Captain America: The Winter Soldier,2014,7.7,780201,"Action, Adventure, Sci-Fi",136,PG-13,None,Moderate,Mild,Mild,Moderate
Ocean's Eight,2018,6.3,202147,"Action, Comedy, Crime",110,PG-13,Mild,None,Mild,Mild,None
Chaos,2005,6.5,53516,"Action, Crime, Drama",106,R,Mild,Severe,Severe,Mild,Moderate
Napoleon Dynamite,2004,6.9,207155,Comedy,96,PG,Mild,Mild,None,None,None
Tinker Tailor Soldier Spy,2011,7.1,194386,"Drama, Mystery, Thriller",122,R,Moderate,Severe,Moderate,Mild,Mild
Fifty Shades Freed,2018,4.5,60589,"Drama, Romance, Thriller",105,R,Severe,Moderate,Moderate,Mild,Mild
Tremors,1990,7.1,129279,"Comedy, Horror",96,PG-13,None,Moderate,Moderate,Mild,Moderate
Twelve Monkeys,1995,8.0,597021,"Mystery, Sci-Fi, Thriller",129,R,Mild,Moderate,Moderate,None,Moderate
Moonraker,1979,6.3,95957,"Action, Adventure, Sci-Fi",126,PG,Mild,Moderate,Mild,Mild,Moderate
The Curious Case of Benjamin Button,2008,7.8,615830,"Drama, Fantasy, Romance",166,PG-13,Moderate,Mild,Mild,Mild,Mild
Hauru no ugoku shiro,2004,8.2,359403,"Animation, Adventure, Family",119,PG,None,Mild,None,Mild,Mild
The Thing,2011,6.2,126787,"Horror, Mystery, Sci-Fi",103,R,None,Severe,Severe,Mild,Severe
Remember the Titans,2000,7.8,205427,"Biography, Drama, Sport",113,PG,None,Mild,Mild,None,Mild
The Neon Demon,2016,6.2,89746,"Horror, Thriller",117,R,Moderate,Severe,Moderate,Mild,Severe
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.6,52432,"Comedy, Crime",89,R,Moderate,Moderate,Severe,Moderate,Mild
Carlito's Way,1993,7.9,209010,"Crime, Drama, Thriller",144,R,Moderate,Severe,Severe,Severe,Severe
Argo,2012,7.7,591671,"Biography, Drama, Thriller",120,R,Mild,Moderate,Severe,Mild,Moderate
Ad Astra,2019,6.5,215183,"Adventure, Drama, Mystery",123,PG-13,None,Moderate,Mild,None,Moderate
Tropic Thunder,2008,7.0,395461,"Action, Comedy, War",107,R,Mild,Severe,Severe,Moderate,Mild
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,379614,"Adventure, Family, Fantasy",143,PG,None,Moderate,None,None,Moderate
The Talented Mr. Ripley,1999,7.4,196652,"Crime, Drama, Thriller",139,R,Mild,Moderate,Mild,Mild,Moderate
Sherlock Holmes,2009,7.6,604389,"Action, Adventure, Mystery",128,PG-13,Mild,Moderate,Mild,Mild,Moderate
Sound of Metal,2019,7.8,106794,"Drama, Music",120,R,Mild,Mild,Moderate,Mild,Mild
Rocky,1976,8.1,541409,"Drama, Sport",120,PG,Mild,Moderate,Mild,Mild,Moderate
Shaun of the Dead,2004,7.9,532099,"Comedy, Horror",99,R,Mild,Severe,Severe,Moderate,Moderate
Apocalypto,2006,7.8,300439,"Action, Adventure, Drama",139,R,Moderate,Severe,Mild,None,Severe
They Live,1988,7.3,120731,"Action, Sci-Fi, Thriller",94,R,Mild,Moderate,Moderate,Mild,Moderate
The Old Guard,2020,6.7,146923,"Action, Adventure, Fantasy",125,R,None,Severe,Moderate,Mild,Moderate
Scary Movie 3,2003,5.5,142190,Comedy,84,PG-13,Mild,Moderate,Moderate,Moderate,Moderate
Star Trek Beyond,2016,7.0,237263,"Action, Adventure, Sci-Fi",122,PG-13,None,Moderate,Mild,Mild,Moderate
Hook,1991,6.8,243446,"Adventure, Comedy, Family",142,PG,None,Mild,Mild,Mild,Mild
The Poseidon Adventure,1972,7.1,42951,"Action, Adventure, Drama",117,PG,Mild,Mild,Mild,Mild,Moderate
The Man with the Golden Gun,1974,6.7,100656,"Action, Adventure, Thriller",125,PG,Mild,Moderate,Mild,Mild,Moderate
Dumb and Dumber,1994,7.3,367326,Comedy,107,PG-13,Mild,Mild,Mild,Mild,Mild
Fear Street: 1666,2021,6.6,40835,"Horror, Mystery",114,R,Mild,Severe,Moderate,Mild,Severe
Mama,2013,6.2,174744,"Fantasy, Horror, Thriller",100,PG-13,Mild,Moderate,Moderate,Mild,Severe
Species,1995,5.8,78028,"Action, Horror, Sci-Fi",108,R,Severe,Severe,Moderate,Mild,Moderate
Bill & Ted Face the Music,2020,6.0,40803,"Adventure, Comedy, Music",91,PG-13,None,Mild,Mild,Mild,Mild
The Fly,1986,7.6,168792,"Drama, Horror, Sci-Fi",96,R,Moderate,Severe,Moderate,Mild,Severe
Misery,1990,7.8,196022,"Drama, Thriller",107,R,None,Severe,Moderate,Mild,Severe
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1208700,"Action, Adventure, Fantasy",124,PG,None,Mild,None,None,Moderate
EuroTrip,2004,6.6,203298,Comedy,92,R,Severe,Mild,Severe,Moderate,None
The Ballad of Buster Scruggs,2018,7.3,133890,"Comedy, Drama, Musical",133,R,Mild,Severe,Mild,Mild,Moderate
Jackie Brown,1997,7.5,331875,"Crime, Drama, Thriller",154,R,Mild,Moderate,Severe,Moderate,Mild
Indiana Jones and the Last Crusade,1989,8.2,719054,"Action, Adventure",127,PG-13,Mild,Moderate,Mild,Mild,Moderate
Gran Torino,2008,8.1,743655,Drama,116,R,Mild,Moderate,Severe,Mild,Moderate
The Lincoln Lawyer,2011,7.3,225616,"Crime, Drama, Mystery",118,R,Mild,Moderate,Moderate,Moderate,Moderate
The Call,2013,6.7,117346,"Crime, Drama, Horror",96,R,Mild,Moderate,Moderate,Mild,Severe
Vivarium,2019,5.8,48110,"Comedy, Horror, Mystery",97,R,Mild,Mild,Moderate,Mild,Moderate
Batman Forever,1995,5.4,241869,"Action, Adventure",121,PG-13,Mild,Moderate,Mild,Mild,Mild
Angel,1983,5.8,3312,"Action, Crime, Thriller",94,R,Moderate,Severe,Severe,Mild,Severe
Inside Out,2015,8.1,656257,"Animation, Adventure, Comedy",95,PG,None,Mild,None,None,Mild
Toy Story,1995,8.3,929761,"Animation, Adventure, Comedy",81,G,None,Mild,None,None,Mild
Willy Wonka & the Chocolate Factory,1971,7.8,188998,"Family, Fantasy, Musical",100,G,None,Mild,None,Mild,Moderate
Shrek,2001,7.9,640174,"Animation, Adventure, Comedy",90,PG,Mild,Mild,Mild,Mild,Mild
Child's Play,2019,5.7,48427,"Drama, Horror, Sci-Fi",90,R,Mild,Severe,Moderate,Mild,Severe
Battle of Britain,1969,7.0,21788,"Action, Drama, History",132,G,Mild,Mild,Mild,Mild,Mild
30 Days of Night,2007,6.6,170844,"Action, Horror, Thriller",113,R,None,Severe,Moderate,Mild,Severe
Le fabuleux destin d'Amélie Poulain,2001,8.3,726634,"Comedy, Romance",122,R,Moderate,Mild,None,Mild,None
Rush,2013,8.1,453966,"Action, Biography, Drama",123,R,Moderate,Mild,Moderate,Moderate,Mild
The Lodge,2019,6.1,39203,"Drama, Horror, Mystery",108,R,Mild,Moderate,Mild,Mild,Moderate
The Hobbit: The Desolation of Smaug,2013,7.8,623382,"Adventure, Fantasy",161,PG-13,None,Moderate,None,Mild,Moderate
Bird Box,2018,6.6,305699,"Horror, Sci-Fi",124,R,Mild,Severe,Moderate,Mild,Moderate
Lost in Translation,2003,7.7,433884,"Comedy, Drama",102,R,Moderate,None,Mild,Mild,None
Oldboy,2013,5.7,72145,"Action, Drama, Mystery",104,R,Severe,Severe,Severe,Moderate,Severe
Marriage Story,2019,7.9,274621,"Comedy, Drama, Romance",137,R,Mild,Mild,Moderate,Mild,Mild
Annabelle,2014,5.4,150583,"Horror, Mystery, Thriller",99,R,None,Moderate,None,Mild,Severe
The Core,2003,5.5,96461,"Action, Adventure, Sci-Fi",135,PG-13,None,Mild,Mild,Mild,Mild
War of the Worlds,2005,6.5,430010,"Action, Adventure, Sci-Fi",116,PG-13,None,Moderate,Moderate,None,Moderate
Amadeus,1984,8.3,383251,"Biography, Drama, Music",160,PG,Moderate,Mild,Moderate,Moderate,Mild
Iron Man 2,2010,7.0,760751,"Action, Adventure, Sci-Fi",124,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Incredibles,2004,8.0,682900,"Animation, Action, Adventure",115,PG,Mild,Mild,None,Mild,Mild
The Rock,1996,7.4,324001,"Action, Adventure, Thriller",136,R,Mild,Moderate,Severe,Mild,Moderate
Total Recall,2012,6.2,246904,"Action, Adventure, Sci-Fi",118,PG-13,Mild,Moderate,Moderate,Mild,Mild
As Good as It Gets,1997,7.7,287861,"Comedy, Drama, Romance",139,PG-13,Mild,Mild,Moderate,Mild,Mild
A Series of Unfortunate Events,2004,6.8,202138,"Adventure, Comedy, Family",108,PG,None,Mild,Mild,None,Moderate
Kids,1995,7.1,76008,Drama,91,R,Severe,Moderate,Severe,Severe,Severe
The Return of the Living Dead,1985,7.3,57990,"Comedy, Horror, Sci-Fi",91,R,Moderate,Severe,Severe,Mild,Moderate
Gokseong,2016,7.5,60126,"Horror, Mystery, Thriller",156,R,Mild,Severe,Severe,Mild,Severe
Serendipity,2001,6.9,108101,"Comedy, Romance",90,PG-13,Mild,None,Mild,Mild,None
Passengers,2016,7.0,373855,"Drama, Romance, Sci-Fi",116,PG-13,Moderate,Mild,Mild,Mild,Mild
Taken,2008,7.8,581691,"Action, Crime, Thriller",90,PG-13,Moderate,Severe,Moderate,Moderate,Severe
Willow,1988,7.3,107126,"Action, Adventure, Drama",126,PG,None,Mild,Mild,Mild,Moderate
L.A. Confidential,1997,8.2,553012,"Crime, Drama, Mystery",138,R,Moderate,Severe,Severe,Moderate,Moderate
Magnolia,1999,8.0,300439,Drama,188,R,Moderate,Moderate,Severe,Severe,Moderate
Outlander,2008,6.2,73674,"Action, Adventure, Sci-Fi",115,R,None,Severe,Mild,Mild,Severe
Greyhound,2020,7.0,84102,"Action, Drama, History",91,PG-13,None,Moderate,Mild,None,Moderate
The Proposal,2009,6.7,308063,"Comedy, Drama, Romance",108,PG-13,Mild,Mild,Mild,Mild,None
Zola,2020,6.5,6919,"Comedy, Crime, Drama",86,R,Severe,Moderate,Severe,Moderate,Moderate
Cloverfield,2008,7.0,383963,"Action, Horror, Sci-Fi",85,PG-13,Mild,Severe,Moderate,Mild,Severe
Caligola,1979,5.3,34819,"Drama, History",156,R,Severe,Severe,Mild,Moderate,Severe
Wrong Turn,2003,6.1,115181,"Horror, Thriller",84,R,Mild,Severe,Moderate,Mild,Severe
X-Men: Apocalypse,2016,6.9,410800,"Action, Adventure, Sci-Fi",144,PG-13,Mild,Moderate,Mild,Mild,Moderate
Disobedience,2017,6.6,28338,"Drama, Romance",114,R,Moderate,None,Mild,Mild,None
Portrait de la jeune fille en feu,2019,8.1,78115,"Drama, Romance",122,R,Moderate,None,None,Mild,None
Austin Powers: International Man of Mystery,1997,7.0,230466,"Adventure, Comedy",94,PG-13,Moderate,Mild,Mild,Mild,None
The Outpost,2019,6.8,28521,"Action, Drama, History",123,R,Mild,Severe,Severe,Mild,Severe
Legends of the Fall,1994,7.5,156985,"Drama, Romance, War",133,R,Moderate,Severe,Moderate,Mild,Moderate
